,None_lag1,RH2M_lag8,T2M_lag8,ALLSKY_SFC_SW_DWN,PREC_roll12_std,T2M_lag1,RH2M_lag4,T2M_lag4,PS,PREC_roll4_mean,heat_dry_stress,RH2M_lag1,RH2M_lag2,PREC_roll12_mean,PREC_lag2
None_lag1,1.0,0.31956780845165916,0.04208888505755111,0.04516177502064205,0.31458624862070117,0.06119675686760528,0.3219268431462241,0.051381531114494,0.04622308703390822,0.2285718718498383,0.0239279903408852,0.2620409612480537,0.30492157960513,0.307313375338602,0.16140390879452102
RH2M_lag8,0.31956780845165916,1.0,0.48225842591451806,0.05979423537461617,0.05826951056783098,0.2579281346811316,0.4677009698353146,0.34420943931655124,0.02824164233885851,0.08502239992003041,0.2744352091715344,0.36268726442007165,0.38521276976035135,0.05298251184675141,0.07594171721605336
T2M_lag8,0.04208888505755111,0.48225842591451806,1.0,0.15996965405530866,0.4645682962130276,0.6060414461245556,0.3965655784419041,0.8118221258816992,0.09910800180664565,0.3419585018926108,0.5087318986249685,0.29070721814908446,0.328388063069554,0.6569978390472461,0.21521103764898175
ALLSKY_SFC_SW_DWN,0.04516177502064205,0.05979423537461617,0.15996965405530866,1.0,0.5118455017472201,0.7743487735822914,0.23509555834198886,0.5639789565912476,0.24804783261701946,0.6671769473689547,0.8429452501388259,0.335770077502514,0.2875515553748285,0.5620951164320148,0.4936071507848739
PREC_roll12_std,0.31458624862070117,0.05826951056783098,0.4645682962130276,0.5118455017472201,1.0,0.5966366928791217,0.011841947126174148,0.5862746963392504,0.06597594230128448,0.734139666394993,0.48009349478880575,0.029882819685949035,0.018229898596025453,0.8622797910082666,0.5080439007618887
T2M_lag1,0.06119675686760528,0.2579281346811316,0.6060414461245556,0.7743487735822914,0.5966366928791217,1.0,0.36010092820060957,0.8614603587932369,0.18657183730524424,0.6489647391991339,0.8840332172614662,0.47200109456479966,0.4167725585305064,0.7597583774336352,0.4414768723343295
RH2M_lag4,0.3219268431462241,0.4677009698353146,0.3965655784419041,0.23509555834198886,0.011841947126174148,0.36010092820060957,1.0,0.47248887850745586,0.006347302323660791,0.008773833453082136,0.4071572741006954,0.5021113700280861,0.5497869374908428,0.04717349172376852,0.09535498310231802
T2M_lag4,0.051381531114494,0.34420943931655124,0.8118221258816992,0.5639789565912476,0.5862746963392504,0.8614603587932369,0.47248887850745586,1.0,0.05665688653435562,0.566556881116638,0.7734630632303241,0.4190226921086324,0.41412606509645483,0.7852508314991821,0.3964088355214643
PS,0.04622308703390822,0.02824164233885851,0.09910800180664565,0.24804783261701946,0.06597594230128448,0.18657183730524424,0.006347302323660791,0.05665688653435562,1.0,0.16403211001038104,0.22543542808486824,0.07556230229910135,0.12468858800878996,0.0471298016659808,0.06255610688286994
PREC_roll4_mean,0.2285718718498383,0.08502239992003041,0.3419585018926108,0.6671769473689547,0.734139666394993,0.6489647391991339,0.008773833453082136,0.566556881116638,0.16403211001038104,1.0,0.5326203420996622,0.08282964349979689,0.07348086789788291,0.7723781569627521,0.7066523786689499
heat_dry_stress,0.0239279903408852,0.2744352091715344,0.5087318986249685,0.8429452501388259,0.48009349478880575,0.8840332172614662,0.4071572741006954,0.7734630632303241,0.22543542808486824,0.5326203420996622,1.0,0.5188900148932357,0.4688972423648392,0.6112597285700825,0.3821696348012139
RH2M_lag1,0.2620409612480537,0.36268726442007165,0.29070721814908446,0.335770077502514,0.029882819685949035,0.47200109456479966,0.5021113700280861,0.4190226921086324,0.07556230229910135,0.08282964349979689,0.5188900148932357,1.0,0.6670995241234825,0.032771235531776736,0.043924806750648034
RH2M_lag2,0.30492157960513,0.38521276976035135,0.328388063069554,0.2875515553748285,0.018229898596025453,0.4167725585305064,0.5497869374908428,0.41412606509645483,0.12468858800878996,0.07348086789788291,0.4688972423648392,0.6670995241234825,1.0,0.035213709729399446,0.27094054017815583
PREC_roll12_mean,0.307313375338602,0.05298251184675141,0.6569978390472461,0.5620951164320148,0.8622797910082666,0.7597583774336352,0.04717349172376852,0.7852508314991821,0.0471298016659808,0.7723781569627521,0.6112597285700825,0.032771235531776736,0.035213709729399446,1.0,0.5271731909577606
PREC_lag2,0.16140390879452102,0.07594171721605336,0.21521103764898175,0.4936071507848739,0.5080439007618887,0.4414768723343295,0.09535498310231802,0.3964088355214643,0.06255610688286994,0.7066523786689499,0.3821696348012139,0.043924806750648034,0.27094054017815583,0.5271731909577606,1.0
